統計期,總計,大客車,大客車-自用,大客車-營業,大貨車,大貨車-自用,大貨車-營業,小客車,小客車-自用,小客車-營業,小客車-營業-計程車,小貨車,小貨車-自用,小貨車-營業,特種車,機車,機車-重型,機車-輕型
108年6月,21966182,33946,1606,32340,166022,96241,69781,6875047,6642726,232321,87240,930077,888880,41197,65188,13895902,12951354,944548
108年7月,21987755,33853,1614,32239,165440,96176,69264,6885792,6652895,232897,87235,930763,889360,41403,65527,13906380,12976799,929581
108年8月,21998364,33707,1605,32102,165393,96176,69217,6885239,6652939,232300,87030,930916,889567,41349,65605,13917504,12999888,917616
108年9月,22028230,33598,1595,32003,165560,96278,69282,6890785,6658545,232240,87066,931682,890266,41416,65779,13940826,13034972,905854
108年10月,22052896,33522,1596,31926,165598,96267,69331,6900192,6667444,232748,87497,932717,891159,41558,65981,13954886,13059153,895733
108年11月,22084071,33395,1588,31807,165628,96224,69404,6912104,6679003,233101,89927,933718,891970,41748,66125,13973101,13083046,890055
108年12月,22111807,33288,1570,31718,165680,96119,69561,6919256,6685641,233615,91898,934456,892277,42179,66205,13992922,13114701,878221
109年1月,22102720,33221,1562,31659,165533,96029,69504,6920578,6686565,234013,92336,933664,891712,41952,66060,13983664,13113307,870357
109年2月,22128786,33238,1564,31674,165900,96081,69819,6926232,6692748,233484,92665,935653,893424,42229,66142,14001621,13137343,864278
109年3月,22138965,33173,1561,31612,166040,96104,69936,6929413,6696272,233141,92585,936731,894251,42480,66168,14007440,13152068,855372
109年4月,22137026,33067,1553,31514,165947,95991,69956,6927855,6695235,232620,92836,937355,894661,42694,66272,14006530,13159856,846674
109年5月,22153783,32975,1558,31417,166152,96104,70048,6935974,6703801,232173,92814,939112,896090,43022,66466,14013104,13174225,838879
109年6月,22175602,32927,1565,31362,166307,96121,70186,6946528,6713407,233121,92906,939934,896503,43431,66592,14023314,13193236,830078
109年7月,22200508,32912,1574,31338,166670,96380,70290,6955130,6721643,233487,93104,939725,896427,43298,66743,14039328,13219094,820234
109年8月,22226118,32828,1571,31257,166756,96418,70338,6960913,6726803,234110,93111,939676,896520,43156,66778,14059167,13246155,813012
109年9月,22264293,32780,1560,31220,167151,96601,70550,6970642,6735847,234795,93072,940722,897335,43387,66947,14086051,13281258,804793
109年10月,22291007,32698,1564,31134,167253,96634,70619,6981794,6746466,235328,92926,941629,897957,43672,67269,14100364,13303722,796642
109年11月,22312836,32629,1554,31075,167369,96682,70687,6993293,6757738,235555,92868,942268,898442,43826,67515,14109762,13323724,786038
109年12月,22297000,32521,1553,30968,167307,96660,70647,6984750,6749381,235369,92605,941016,896872,44144,67643,14103763,13333841,769922
110年1月,22327011,32463,1552,30911,167647,96756,70891,7000875,6764172,236703,92672,942418,897918,44500,67666,14115942,13351735,764207
110年2月,22345340,32458,1553,30905,167756,96798,70958,7011023,6774033,236990,92748,943107,898528,44579,67827,14123169,13363573,759596
110年3月,22380410,32434,1548,30886,167982,96846,71136,7027428,6789143,238285,93077,944785,899990,44795,68069,14139712,13385575,754137
110年4月,22405451,32427,1547,30880,168274,96875,71399,7037927,6798263,239664,93329,946408,901301,45107,68172,14152243,13403353,748890
110年5月,22423353,32385,1540,30845,168655,96989,71666,7041391,6801044,240347,93178,947181,901766,45415,68189,14165552,13421034,744518
110年6月,22435245,32313,1540,30773,169012,97125,71887,7044953,6805119,239834,92908,947915,902264,45651,68033,14173019,13432782,740237
110年7月,22454866,32268,1545,30723,169426,97235,72191,7055048,6815583,239465,92350,949153,903173,45980,68122,14180849,13446897,733952
110年8月,22477330,32208,1542,30666,169599,97228,72371,7061857,6822566,239291,91968,949559,903249,46310,68379,14195728,13467537,728191
110年9月,22517371,32143,1536,30607,169962,97320,72642,7076445,6836238,240207,91839,951241,904597,46644,68661,14218919,13495135,723784
110年10月,22546077,32074,1538,30536,170284,97445,72839,7084949,6844640,240309,91755,952057,905133,46924,68775,14237938,13519122,718816
110年11月,22578924,32012,1538,30474,170513,97557,72956,7095489,6854604,240885,91619,953125,905800,47325,69166,14258619,13545879,712740
110年12月,22597694,31936,1533,30403,170833,97723,73110,7104034,6862695,241339,91426,954793,906451,48342,69178,14266920,13562248,704672
111年1月,22619852,31920,1533,30387,171107,97917,73190,7117693,6875262,242431,91460,955198,906821,48377,68891,14275043,13574498,700545
111年2月,22636331,31931,1531,30400,171309,97759,73550,7123439,6880598,242841,91376,956201,907602,48599,68905,14284546,13587132,697414
111年3月,22656923,31898,1536,30362,171483,97078,74405,7130517,6887341,243176,91177,957489,908578,48911,68957,14296579,13603901,692678
111年4月,22672771,31841,1532,30309,171625,96703,74922,7134775,6890668,244107,91104,958810,909587,49223,69062,14306658,13618458,688200
111年5月,22685529,31713,1538,30175,171893,96604,75289,7140605,6896486,244119,90908,960287,910740,49547,69143,14311888,13627045,684843
111年6月,22705263,31597,1542,30055,172190,96576,75614,7149432,6904886,244546,90791,961551,911844,49707,69165,14321328,13640258,681070
111年7月,22723588,31489,1534,29955,172528,96470,76058,7158353,6912894,245459,90769,963377,913087,50290,69344,14328497,13652476,676021
111年8月,22748997,31444,1529,29915,172705,96458,76247,7168613,6922200,246413,90621,964533,913884,50649,69341,14342361,13670975,671386
111年9月,22782829,31443,1522,29921,173102,96553,76549,7178319,6931066,247253,90664,966022,914969,51053,69406,14364537,13697761,666776
111年10月,22805998,31372,1516,29856,173238,96554,76684,7188975,6941026,247949,90685,967260,915909,51351,69487,14375666,13713653,662013
111年11月,22828810,31320,1515,29805,173432,96498,76934,7200705,6952233,248472,90566,968310,916665,51645,69716,14385327,13726985,658342
111年12月,22844046,31244,1521,29723,173097,96376,76721,7210327,6960694,249633,90458,968843,916906,51937,69909,14390626,13736320,654306
