,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
1682,108年02月07日 04時28分00秒,嘉義市東區興安里興安街前0.0公尺,死亡1;受傷0,普通重型-機車,120.449083,23.461578
1683,108年02月07日 09時45分00秒,臺南市鹽水區台19線 110公里,死亡1;受傷0,普通重型-機車,120.212508,23.265264
1684,108年02月07日 13時43分00秒,高雄市大寮區前庄路 / 高雄市大寮區國華街,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.399248,22.620039
1685,108年02月07日 14時47分00秒,彰化縣埤頭鄉合興村彰水路2段 / 彰化縣埤頭鄉合興村埤圳南路,死亡1;受傷1,自用-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人,120.458886,23.880378
1686,108年02月07日 17時42分00秒,新竹縣芎林鄉永興村富林路一段518號旁22公尺處,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人,121.108572,24.74167
1687,108年02月07日 23時15分00秒,高雄市旗山區台28省道馬頭幹28號前0.0公尺,死亡1;受傷0,自用-小客車,120.4697,22.88581
1688,108年02月08日 15時26分31秒,臺南市關廟區新埔里新埔二街72巷前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,120.336251,22.972925
1689,108年02月08日 16時28分35秒,南投縣埔里鎮崇文街、中山路一段口,死亡1;受傷0,自用-小客車;普通重型-機車,120.993608,23.978755
1690,108年02月09日 03時56分00秒,臺北市信義區松仁路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,121.568333,25.028558
1691,108年02月09日 09時12分00秒,臺中市北屯區大坑里東山路二段前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.758508,24.200103
1692,108年02月09日 11時59分00秒,新北市八里區龍米路2段96號前0.0公尺,死亡1;受傷5,人力車-慢車;電動輔助自行車-慢車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,121.445068,25.148
1693,108年02月09日 20時27分00秒,臺北市內湖區潭美街 / 臺北市內湖區安美街,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.602737,25.061064
1694,108年02月09日 22時15分00秒,桃園市平鎮區中山路92號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,121.25493,24.927756
1695,108年02月10日 14時39分59秒,宜蘭縣宜蘭市環市東路2段前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人,121.771741,24.737391
1696,108年02月10日 15時16分00秒,雲林縣虎尾鎮墾地里雲97公路293273燈桿前路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.385271,23.738625
1697,108年02月10日 18時05分00秒,彰化縣員林市南平里員林大道5段 / 彰化縣員林市南平里龍富街,死亡1;受傷0,自用-小客車;普通重型-機車,120.568593,23.972075
1698,108年02月10日 18時20分00秒,雲林縣元長鄉台19公路與潭東村路口,死亡1;受傷0,行人-人;普通重型-機車,120.311307,23.637131
1699,108年02月10日 19時40分00秒,臺中市大安區龜殼里西濱公路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.585404,24.362147
1700,108年02月11日 01時29分39秒,桃園市中壢區環中東路口 / 桃園市中壢區新中北路口,死亡1;受傷0,自用-小客車;行人-人,121.24823,24.957086
1701,108年02月11日 05時00分41秒,臺中市南屯區國道1號 184公里500.0公尺處北側向外側,死亡1;受傷0,其他人-人;自用-小貨車(含客、貨兩用);營業用-半聯結車;自用-大貨車;自用-小客車;營業用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車,120.617829,24.138835
1702,108年02月11日 05時39分00秒,新北市新莊區重新堤外道路 / 新北市新莊區21號越堤道,死亡1;受傷0,營業用-曳引車;普通重型-機車,121.453971,25.033547
1703,108年02月11日 09時58分00秒,高雄市大樹區無名路前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,120.414521,22.684428
1704,108年02月11日 12時15分14秒,嘉義縣六腳鄉正義村中溝產業道路(無名橋),死亡1;受傷0,普通輕型-機車;自用-小客車,120.267495,23.502496
1705,108年02月11日 12時32分00秒,臺東縣臺東市東45線6公里300公尺處(利吉大橋上),死亡1;受傷0,普通重型-機車,121.133471,22.807646
1706,108年02月11日 14時45分20秒,桃園市平鎮區平東路1段口 / 桃園市平鎮區廟前路口,死亡1;受傷0,營業用-曳引車;行人-人;營業用-曳引車,121.254504,24.918772
1707,108年02月11日 19時17分30秒,屏東縣潮州鎮潮義路221號前,死亡1;受傷2,自用-小客車;乘客-人;乘客-人,120.593324,22.539857
1708,108年02月12日 02時55分00秒,基隆市暖暖區八堵路 / 基隆市暖暖區八堵路,死亡1;受傷0,普通重型-機車;自用-小客車,121.737668,25.110596
1709,108年02月12日 06時24分00秒,彰化縣線西鄉寓埔村中華路 / 彰化縣線西鄉寓埔村中央路2段,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小客車,120.456234,24.136288
1710,108年02月12日 13時28分08秒,宜蘭縣大同鄉台7線 102公里400.0公尺處,死亡1;受傷0,普通重型-機車;自用-小客車,121.622418,24.683023
1711,108年02月12日 14時34分00秒,南投縣南投市中研路與文獻路口,死亡1;受傷0,民營客運-大客車;普通重型-機車,120.698929,23.935652
1712,108年02月12日 20時02分09秒,苗栗縣頭份市忠孝二路與忠孝一路69巷口,死亡1;受傷1,普通重型-機車;行人-人,120.906537,24.691023
1713,108年02月13日 03時15分00秒,新北市新莊區環漢路516號前0.0公尺,死亡1;受傷0,普通重型-機車,121.438442,25.015854
1714,108年02月13日 06時09分00秒,苗栗縣造橋鄉龍昇村苗8線5公里西向車道(大山交流道北上匝道口附近),死亡1;受傷0,自用-小客車;行人-人,120.818791,24.636052
1715,108年02月13日 10時35分39秒,新竹縣橫山鄉新竹縣橫山鄉油羅溪橋北端,死亡1;受傷0,普通重型-機車;自用-小客車,121.124047,24.722544
1716,108年02月13日 14時00分00秒,屏東縣萬丹鄉萬生村萬壽路1段252號,死亡1;受傷1,普通重型-機車;普通重型-機車,120.496118,22.584727
1717,108年02月13日 19時05分00秒,臺中市西屯區潮洋里臺灣大道三段前0.0公尺,死亡1;受傷0,大型重型2(250-550C.C.)-機車;民營公車-大客車,120.636791,24.17074
1718,108年02月13日 19時12分00秒,高雄市左營區翠華路 / 高雄市左營區新庄仔路,死亡1;受傷0,自用-小客車;腳踏自行車-慢車;普通重型-機車,120.297619,22.678651
1719,108年02月14日 07時50分00秒,屏東縣屏東市忠孝路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.493146,22.69512
1720,108年02月14日 08時21分00秒,桃園市大溪區員林路3段口 / 桃園市大溪區員林路3段口,死亡1;受傷1,普通重型-機車;普通重型-機車,121.26178,24.880141
1721,108年02月14日 08時54分00秒,臺中市沙鹿區西勢里中清路七段357號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.583267,24.249979
1722,108年02月14日 16時18分00秒,宜蘭縣南澳鄉信義路陽明巷巷5-5號前0.0公尺東側,死亡2;受傷3,大型重型2(250-550C.C.)-機車;普通重型-機車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人,121.791332,24.468289
1723,108年02月14日 20時31分41秒,臺南市新化區豐榮里中山路693-10號前0.0公尺,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),120.297339,23.036084
1724,108年02月14日 21時56分25秒,新竹市香山區食品路口 / 新竹市香山區食品路,死亡1;受傷3,普通重型-機車;大型重型2(250-550C.C.)-機車;普通重型-機車;乘客-人,120.97043,24.793861
1725,108年02月15日 01時16分00秒,屏東縣內埔鄉龍泉村中勝路255號前,死亡1;受傷0,普通重型-機車,120.602006,22.669341
1726,108年02月15日 07時13分00秒,雲林縣麥寮鄉崙後村鄉道3-1與圳寮產業道路口,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人,120.280723,23.777335
1727,108年02月15日 08時07分00秒,新竹縣竹北市縣政二路與福興路口,死亡1;受傷1,普通重型-機車;自用-小客車,121.013328,24.821404
1728,108年02月15日 08時28分00秒,臺中市北屯區松強里松竹路二段300-1號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.693169,24.182972
1729,108年02月15日 12時55分00秒,新北市坪林區北宜公路前0.0公尺,死亡1;受傷0,普通重型-機車,121.720231,24.901738
1730,108年02月16日 04時48分34秒,新竹市東區中華路一段2巷91弄前0.0公尺,死亡1;受傷0,普通重型-機車,120.987058,24.82203
1731,108年02月16日 07時24分30秒,嘉義縣義竹鄉新店村14鄰275-2號旁產業道路,死亡1;受傷2,自用-小客車;自用-大貨車;乘客-人;乘客-人,120.206927,23.331645
1732,108年02月16日 13時20分00秒,南投縣埔里鎮福興里福興路68號北側,死亡1;受傷0,農耕用車(或機械)-其他車,120.973822,23.999239
1733,108年02月16日 19時04分51秒,苗栗縣銅鑼鄉苗128線14.5K處附近,死亡1;受傷0,普通重型-機車,120.784635,24.492831
1734,108年02月16日 23時02分51秒,臺南市官田區渡拔里台84線27.66 公里處(西往東內側車道),死亡1;受傷1,大型重型2(250-550C.C.)-機車;自用-小客車;自用-小客車;乘客-人,120.360503,23.166083
1735,108年02月17日 00時00分00秒,臺南市永康區中山南路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.241228,23.01901
1736,108年02月17日 05時22分57秒,苗栗縣通霄鎮台1線 131公里附近向機、慢車道,死亡1;受傷0,普通重型-機車,120.690321,24.510566
1737,108年02月17日 05時52分00秒,高雄市橋頭區隆豐路白樹243燈號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.305189,22.757277
1738,108年02月17日 12時30分00秒,宜蘭縣壯圍鄉忠孝村中央路3段468巷107號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,121.795658,24.765451
1739,108年02月17日 17時55分00秒,臺南市新化區太平里中正路990號前0.0公尺附近,死亡1;受傷3,自用-小客車;自用-小客車;自用-小客車;乘客-人,120.300917,23.050843
1740,108年02月18日 07時17分00秒,屏東縣鹽埔鄉台27線46公里處,死亡1;受傷0,普通重型-機車;自用-小客車,120.549453,22.740868
1741,108年02月18日 14時25分00秒,基隆市仁愛區南榮路198號南榮公墓前,死亡2;受傷0,行人-人;自用-小客車;行人-人,121.744376,25.112762
1742,108年02月18日 14時31分00秒,彰化縣二林鎮香田里儒林路前0.0公尺,死亡1;受傷0,營業用-大貨車;普通重型-機車,120.371337,23.873271
1743,108年02月18日 17時16分00秒,高雄市小港區沿海三路0號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.368298,22.526675
1744,108年02月18日 18時47分00秒,高雄市茄萣區東方路1段前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.2146,22.87626
1745,108年02月18日 21時13分00秒,高雄市岡山區岡山路 / 高雄市岡山區嘉新西路,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,120.29231,22.801654
1746,108年02月18日 22時10分00秒,雲林縣古坑鄉桂林村桃源路8-8號,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.594508,23.598717
1747,108年02月19日 06時09分00秒,臺中市大肚區蔗廍里向上路五段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.5827,24.172598
1748,108年02月19日 07時35分08秒,苗栗縣竹南鎮大埔里想思林33號前,死亡1;受傷0,營業用-大貨車;普通重型-機車,120.895303,24.714047
1749,108年02月19日 10時02分00秒,嘉義市東區盧厝里大雅路1段 / 嘉義市東區盧厝里大雅路1段,死亡1;受傷1,普通重型-機車;普通重型-機車,120.4964,23.48174
1750,108年02月19日 16時51分00秒,臺北市士林區格致路 / 臺北市士林區愛富二街,死亡1;受傷0,民營客運-大客車;行人-人,121.549125,25.137193
1751,108年02月19日 18時43分00秒,苗栗縣三義鄉國道1號 150公里900.0公尺處北側向外側,死亡1;受傷1,營業用-大貨車;營業用-半聯結車;乘客-人,120.756243,24.389298
1752,108年02月20日 05時05分00秒,新竹縣新埔鎮義民路3段506巷口,死亡1;受傷1,行人-人;普通重型-機車,121.032902,24.844777
1753,108年02月20日 09時24分00秒,彰化縣花壇鄉南口村中山路2段前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.535514,24.036578
1754,108年02月20日 10時35分12秒,南投縣草屯鎮國道6號 5公里西側向交流道,死亡1;受傷0,營業用-半聯結車,120.715685,24.007216
1755,108年02月20日 21時16分10秒,新竹市東區公道五路二段口 / 新竹市東區水源街口,死亡1;受傷0,自用-小客車;普通重型-機車,120.993863,24.804672
1756,108年02月21日 06時20分00秒,臺南市玉井區台20線 35公里東側向路肩,死亡1;受傷0,自用-小客車,120.475709,23.111913
1757,108年02月21日 09時23分00秒,高雄市大寮區中正路近文化路號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.387583,22.618481
1758,108年02月21日 10時18分00秒,高雄市鳳山區博愛路239號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.369971,22.629392
1759,108年02月21日 12時11分33秒,桃園市觀音區崙坪里忠愛路1段307號前0.0公尺南側,死亡1;受傷0,自用-小貨車(含客、貨兩用);大型重型1(550C.C.以上)-機車;自用-小客車,121.162019,24.996761
1760,108年02月21日 17時30分00秒,桃園市蘆竹區八德一路口 / 桃園市蘆竹區寶順街口,死亡1;受傷0,自用-小客車;普通重型-機車,121.344561,25.065861
1761,108年02月21日 17時58分00秒,臺北市內湖區南京東路6段368巷10號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.586594,25.059159
1762,108年02月22日 07時09分00秒,臺北市內湖區民權東路6段21巷前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,121.582513,25.068316
1763,108年02月22日 11時53分00秒,高雄市阿蓮區仁愛路崗山381路燈號前0.0公尺,死亡1;受傷0,普通重型-機車,120.3347,22.86262
1764,108年02月22日 18時37分00秒,臺東縣太麻里鄉泰和村臺9線口 / 臺東縣太麻里鄉泰和村太麻里街口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.007676,22.614323
1765,108年02月22日 19時46分58秒,桃園市中壢區中華路1段口 / 桃園市中壢區復華街口,死亡1;受傷0,自用-小客車;普通重型-機車;營業用-曳引車,121.248015,24.968343
1766,108年02月22日 20時45分00秒,高雄市旗山區旗南一路236之1號前0.0公尺前,死亡1;受傷1,普通重型-機車;行人-人;自用-小客車,120.4728,22.86937
1767,108年02月23日 19時04分02秒,臺南市六甲區二甲里中山路446號對面無名巷內市區道路電桿鳳營高幹37右3N1440FD63,死亡1;受傷0,普通重型-機車,120.343788,23.232552
1768,108年02月24日 00時19分21秒,臺南市龍崎區縣182線 23公里700.0公尺處西側向外側,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.401159,22.94734
1769,108年02月24日 00時38分00秒,桃園市蘆竹區國道2號 8公里300.0公尺處西側,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.266917,25.026494
1770,108年02月24日 09時13分55秒,花蓮縣吉安鄉中央路一段與稻香路口以北150公尺處,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人,121.567854,23.965723
1771,108年02月24日 18時29分00秒,嘉義縣番路鄉江西村159甲線8K處,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人,120.512069,23.477265
1772,108年02月25日 11時18分00秒,桃園市大溪區東龍街780巷前0.0公尺附近,死亡1;受傷1,自用-小客車;自用-小客車,121.251089,24.895852
