發生時間,發生地點,死亡受傷人數,車種,經度,緯度
102年02月04日 09時30分,臺東縣大武鄉大鳥村台9線431公里00公尺處南向一般車道,死亡1;受傷0,普通重型-機車;營業用-半聯結車,,
102年02月04日 11時40分,宜蘭縣五結鄉親河路一段167號台7丙線31公里200公尺處東向外側車道,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車,,
102年02月04日 16時00分,南投縣草屯鎮御史里玉屏登輝路口超商往西150公尺處(附近),死亡1;受傷0,普通輕型-機車,,
102年02月04日 16時40分,高雄市鳳山區頂庄路鳳頂路口,死亡1;受傷0,營業用-半聯結車;行人-人,,
102年02月04日 18時12分,新竹縣新豐鄉瑞興村3鄰43號前產業道路往西之電線桿(標號左分18)(附近),死亡1;受傷0,自用-大貨車;普通重型-機車,,
102年02月04日 20時00分,臺東縣大武鄉大武村台9線435公里300公尺處南向中線車道,死亡1;受傷0,普通輕型-機車;營業用-半聯結車,,
102年02月04日 22時00分,新竹縣橫山鄉豐鄉村3鄰46號前50公尺數竹35-1縣道1.8K處(附近),死亡1;受傷0,自用-小貨車,,
102年02月05日 05時30分,高雄市仁武區鳳仁路304號前,死亡1;受傷0,營業用-半聯結車;腳踏自行車-慢車,,
102年02月05日 15時40分,屏東縣屏東市玉成里大成路72巷,死亡1;受傷0,普通輕型-機車;自用-小貨車;自用-小客車,,
102年02月05日 17時00分,屏東縣竹田鄉竹南村水源路台一線411公里800公尺處北向內側車道,死亡1;受傷0,自用-小客車,,
102年02月05日 17時30分,彰化縣員林鎮彰化縣員林鎮大饒里中正路2巷愛買量販店前,死亡1;受傷0,自用-小貨車;腳踏自行車-慢車,,
102年02月05日 19時50分,臺南市六甲區中社里臺1線298公里950公尺處南向外側車道,死亡1;受傷0,普通重型-機車,,
