,發生時間,發生地點,死亡受傷人數,車種
176,102年02月02日 05時09分,臺南市安南區安明路四段166號旁(附近),死亡2;受傷0,自用-小客車;營業用-半聯結車;營業用-半聯結車;自用-小客車
177,102年02月02日 07時11分,花蓮縣光復鄉台9線253公里500公尺處南向內側車道,死亡1;受傷3,自用-小客車;自用-小貨車;自用-小客車;自用-小貨車
178,102年02月02日 10時30分,新北市貢寮區吉林產業道路前0.0公尺數1.1公里(附近),死亡1;受傷1,普通重型-機車;普通重型-機車
179,102年02月02日 18時59分,宜蘭縣蘇澳鎮蘇濱路三段頂寮路(口)台2線160公里00公尺處北向中外車道,死亡1;受傷0,普通重型-機車;自用-大貨車
180,102年02月03日 06時15分,彰化縣埔鹽鄉彰化縣埔鹽鄉埔南村埔菜路42-28號西側45公尺處,死亡1;受傷0,租賃車-小客車
181,102年02月03日 18時37分,嘉義縣民雄鄉秀林村17鄰林子尾66之4號前電桿。(附近),死亡1;受傷0,普通重型-機車
182,102年02月03日 20時35分,高雄市楠梓區國道一號358公里0公尺處北向中線車道,死亡1;受傷1,腳踏自行車-慢車;自用-小客車
183,102年02月03日 23時53分,嘉義縣民雄鄉興中村嘉81線4.6公里處(附近),死亡1;受傷3,自用-小客車;自用-小貨車;自用-小客車;自用-小客車;自用-小客車;自用-小客車
184,102年02月04日 05時20分,臺中市豐原區西勢路西勢四街(口),死亡1;受傷1,普通重型-機車;行人-人
185,102年02月04日 08時20分,苗栗縣後龍鎮溪洲里下溪洲枝21分9電桿附近(附近),死亡1;受傷0,普通重型-機車
186,102年02月04日 09時30分,臺東縣大武鄉大鳥村台9線431公里00公尺處南向一般車道,死亡1;受傷0,普通重型-機車;營業用-半聯結車
187,102年02月04日 11時40分,宜蘭縣五結鄉親河路一段167號台7丙線31公里200公尺處東向外側車道,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
188,102年02月04日 16時00分,南投縣草屯鎮御史里玉屏登輝路口超商往西150公尺處(附近),死亡1;受傷0,普通輕型-機車
189,102年02月04日 16時40分,高雄市鳳山區頂庄路鳳頂路口,死亡1;受傷0,營業用-半聯結車;行人-人
190,102年02月04日 18時12分,新竹縣新豐鄉瑞興村3鄰43號前產業道路往西之電線桿(標號左分18)(附近),死亡1;受傷0,自用-大貨車;普通重型-機車
191,102年02月04日 20時00分,臺東縣大武鄉大武村台9線435公里300公尺處南向中線車道,死亡1;受傷0,普通輕型-機車;營業用-半聯結車
192,102年02月04日 22時00分,新竹縣橫山鄉豐鄉村3鄰46號前50公尺數竹35-1縣道1.8K處(附近),死亡1;受傷0,自用-小貨車
193,102年02月05日 05時30分,高雄市仁武區鳳仁路304號前,死亡1;受傷0,營業用-半聯結車;腳踏自行車-慢車
194,102年02月05日 15時40分,屏東縣屏東市玉成里大成路72巷,死亡1;受傷0,普通輕型-機車;自用-小貨車;自用-小客車
195,102年02月05日 17時00分,屏東縣竹田鄉竹南村水源路台一線411公里800公尺處北向內側車道,死亡1;受傷0,自用-小客車
196,102年02月05日 17時30分,彰化縣員林鎮彰化縣員林鎮大饒里中正路2巷愛買量販店前,死亡1;受傷0,自用-小貨車;腳踏自行車-慢車
197,102年02月05日 19時50分,臺南市六甲區中社里臺1線298公里950公尺處南向外側車道,死亡1;受傷0,普通重型-機車
198,102年02月06日 05時30分,臺南市南區健康路一段173號,死亡1;受傷0,普通重型-機車
