,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,國道,其他
2022-02,211,16,7,19,22,20,30,5,12,4,12,8,7,12,11,0,6,0,4,5,2,0,0,9,0
2022-03,256,28,9,14,27,33,43,4,5,5,19,5,11,11,22,5,3,0,0,2,1,0,0,8,1
2022-04,236,25,8,23,23,25,31,6,8,5,23,4,16,9,13,1,4,2,2,4,3,1,0,0,0
2022-05,258,34,7,16,27,27,27,8,8,6,17,6,17,9,18,3,10,1,3,4,3,0,0,7,0
2022-06,249,25,4,26,15,23,26,9,7,7,28,2,16,7,19,9,8,1,4,5,3,0,0,4,1
2022-07,235,27,4,16,24,26,29,12,5,9,13,3,15,8,21,5,5,1,2,2,1,0,0,6,1
2022-08,263,26,6,19,31,22,32,9,9,6,21,6,11,19,19,4,4,2,3,7,1,1,0,5,0
2022-09,293,31,15,30,33,21,23,6,12,9,31,12,15,13,16,6,6,2,2,3,1,0,0,6,0
2022-10,268,27,14,16,21,21,41,4,13,8,21,13,20,11,12,6,4,1,1,5,4,0,0,5,0
2022-11,260,19,10,22,27,33,34,10,10,4,24,7,16,4,17,5,6,3,1,2,3,0,0,3,0
2022-12,270,25,10,29,26,31,30,10,3,15,10,7,14,11,24,3,3,0,3,5,5,0,0,6,0
